index,seriesId,TIME_PERIOD,OBS_VALUE
0,1007000012,1994,98183.0
1,1007000012,1995,113250.0
2,1007000012,1996,99005.0
3,1007000012,1997,95362.0
4,1007000012,1998,95461.0
5,1007000012,1999,100714.0
6,1007000012,2000,104269.0
7,1007000012,2001,121926.0
8,1007000012,2002,132976.0
9,1007000012,2003,143297.0
10,1007000012,2004,148283.0
11,1007000012,2005,150032.0
12,1007000012,2006,153133.0
13,1007000012,2007,167003.0
14,1007000012,2008,185232.0
15,1007000012,2009,205274.0
16,1007000012,2010,197733.0
17,1007000012,2011,202477.0
18,1007000012,2012,209508.0
19,1007000012,2013,218993.0
20,1007000012,2014,226662.0
21,1007000012,2015,221921.0
22,1007000012,2016,233036.0
23,1007000012,2017,229464.0
24,1007000012,2018,227900.0
25,1007000012,2019,238532.0
26,1007000012,2020,189543.0
27,1007000012,2021,182909.0
28,1007000013,1994,54042.0
29,1007000013,1995,58968.0
30,1007000013,1996,60638.0
31,1007000013,1997,64868.0
32,1007000013,1998,67285.0
33,1007000013,1999,70825.0
34,1007000013,2000,70210.0
35,1007000013,2001,71808.0
36,1007000013,2002,77235.0
37,1007000013,2003,79834.0
38,1007000013,2004,91396.0
39,1007000013,2005,90476.0
40,1007000013,2006,91146.0
41,1007000013,2007,106432.0
42,1007000013,2008,111715.0
43,1007000013,2009,119126.0
44,1007000013,2010,125369.0
45,1007000013,2011,124014.0
46,1007000013,2012,129795.0
47,1007000013,2013,129779.0
48,1007000013,2014,135231.0
49,1007000013,2015,135222.0
50,1007000013,2016,143837.0
51,1007000013,2017,140532.0
52,1007000013,2018,143507.0
53,1007000013,2019,148699.0
54,1007000013,2020,71962.0
55,1007000013,2021,113239.0
56,1007000014,1994,472.0
57,1007000014,1995,481.0
58,1007000014,1996,410.0
59,1007000014,1997,356.0
60,1007000014,1998,245.0
61,1007000014,1999,225.0
62,1007000014,2000,147.0
63,1007000014,2001,219.0
64,1007000014,2002,213.0
65,1007000014,2003,202.0
66,1007000014,2004,205.0
67,1007000014,2005,224.0
68,1007000014,2006,186.0
69,1007000014,2007,271.0
70,1007000014,2008,150.0
71,1007000014,2009,81.0
72,1007000014,2010,73.0
