index,seriesId,TIME_PERIOD,OBS_VALUE
0,5300000005,1998,21.0
1,5300000005,2003,34.0
2,5300000005,2008,24.0
3,5300000005,2018,19.0
0,5300000025,1998,2.914
1,5300000025,2003,39.091
2,5300000025,2008,55.302
3,5300000025,2018,350.026
0,5300000035,1998,29.397
1,5300000035,2003,144.414
2,5300000035,2008,381.795
3,5300000035,2018,8651.804
0,5300000045,1998,20.395
1,5300000045,2003,103.771
2,5300000045,2008,202.051
3,5300000045,2018,3422.108
0,5300000095,1998,29.174
1,5300000095,2003,82.487
2,5300000095,2008,379.217
3,5300000095,2018,8649.804
0,5300000105,1998,14.202
1,5300000105,2003,52.524
2,5300000105,2008,175.868
3,5300000105,2018,3349.414
0,6207046219,2008/01,0.0
1,6207046219,2008/02,0.0
2,6207046219,2008/03,0.0
3,6207046219,2008/04,0.0
4,6207046219,2008/05,0.0
5,6207046219,2008/06,1.5
6,6207046219,2008/07,3.6
7,6207046219,2008/08,11.0
8,6207046219,2008/09,9.0
9,6207046219,2008/10,10.0
10,6207046219,2008/11,13.0
11,6207046219,2008/12,11.0
12,6207046219,2009/01,8.3
13,6207046219,2009/02,5.2
14,6207046219,2009/03,7.6
15,6207046219,2009/04,11.0
16,6207046219,2009/05,14.0
17,6207046219,2009/06,13.0
18,6207046219,2009/07,15.1
19,6207046219,2009/08,8.0
20,6207046219,2009/09,10.0
21,6207046219,2009/10,9.4
22,6207046219,2009/11,11.2
23,6207046219,2009/12,10.0
24,6207046219,2010/01,11.0
25,6207046219,2010/02,8.0
26,6207046219,2010/03,10.0
27,6207046219,2010/04,11.0
28,6207046219,2010/05,14.0
29,6207046219,2010/06,16.0
30,6207046219,2010/07,19.0
31,6207046219,2010/08,14.0
32,6207046219,2010/09,14.0
33,6207046219,2010/10,15.0
34,6207046219,2010/11,11.0
35,6207046219,2010/12,16.0
36,6207046219,2011/01,12.0
37,6207046219,2011/02,11.0
38,6207046219,2011/03,18.0
39,6207046219,2011/04,26.0
40,6207046219,2011/05,13.0
41,6207046219,2011/06,16.0
42,6207046219,2011/07,25.0
43,6207046219,2011/08,19.0
44,6207046219,2011/09,20.0
45,6207046219,2011/10,17.0
46,6207046219,2011/11,19.0
47,6207046219,2011/12,21.0
48,6207046219,2012/01,33.0
49,6207046219,2012/02,23.0
50,6207046219,2012/03,25.0
51,6207046219,2012/04,24.0
52,6207046219,2012/05,17.0
53,6207046219,2012/06,17.0
54,6207046219,2012/07,22.0
55,6207046219,2012/08,15.0
56,6207046219,2012/09,11.0
57,6207046219,2012/10,17.0
